,acousticness,dance,duration,energy,instrumentalness,key,liveness,loudness,mode,playlist,song,speech,tempo,time,valence
255,0.952,0.523,262000,0.363,0.0136,9,0.661,-10.809,0,45UoCqtVh2BR1HteUkmRje,5QRZuP11InyHtqsv8IyHmX,0.0335,120.085,4,0.116
256,0.0367,0.558,208600,0.719,0.0,2,0.115,-5.113,1,45UoCqtVh2BR1HteUkmRje,5QpaGzWp0hwB5faV8dkbAz,0.0267,112.027,4,0.371
257,0.741,0.556,264290,0.322,0.0,4,0.105,-9.982,1,45UoCqtVh2BR1HteUkmRje,5R5SBkgsXRRgRLTmqfv14t,0.0269,97.993,4,0.391
258,0.0113,0.806,219840,0.608,0.0,1,0.635,-7.008,1,45UoCqtVh2BR1HteUkmRje,5W2opDlEE4V6azri6kC4aT,0.0659,95.049,4,0.849
259,0.117,0.606,278960,0.864,0.0,11,0.366,-7.504,0,45UoCqtVh2BR1HteUkmRje,5YScXJKtefsgdskIy60N7A,0.0919,103.834,4,0.579
260,0.711,0.69,232600,0.407,0.0,9,0.126,-7.739,1,45UoCqtVh2BR1HteUkmRje,5dTJMpqiELczVuHJP3OAEu,0.0297,111.916,4,0.181
261,0.225,0.871,204293,0.522,0.0,0,0.206,-5.601,1,45UoCqtVh2BR1HteUkmRje,5eF8Hn5AHY4qT3aZsVYAzO,0.0419,123.991,4,0.887
262,0.269,0.64,262533,0.743,0.0,10,0.101,-4.08,1,45UoCqtVh2BR1HteUkmRje,5fVZC9GiM4e8vu99W0Xf6J,0.0379,122.035,4,0.361
263,0.95,0.445,172149,0.407,0.0,3,0.227,-6.883,1,45UoCqtVh2BR1HteUkmRje,5fa6CrQwHwthEoCvTtd5Ig,0.0349,131.479,3,0.231
264,0.876,0.568,308280,0.316,1.37e-05,4,0.113,-9.662,1,45UoCqtVh2BR1HteUkmRje,5hUoNlSp0RB5jjHYUBCgvO,0.0257,82.926,4,0.234
265,0.159,0.577,201173,0.756,0.000232,2,0.249,-5.82,1,45UoCqtVh2BR1HteUkmRje,5imShWWzwqfAJ9gXFpGAQh,0.115,176.75,4,0.663
266,0.746,0.427,224867,0.262,0.0,7,0.068,-8.541,1,45UoCqtVh2BR1HteUkmRje,5kRPPEWFJIMox5qIkQkiz5,0.0276,104.085,4,0.228
267,0.287,0.765,237300,0.473,0.0,10,0.391,-5.829,1,45UoCqtVh2BR1HteUkmRje,5kqIPrATaCc2LqxVWzQGbk,0.0514,119.992,4,0.34
268,0.6,0.651,264482,0.312,2.15e-06,7,0.102,-9.05,1,45UoCqtVh2BR1HteUkmRje,5mSfvJmlAEqCRVZzrg47xx,0.0528,109.986,4,0.324
269,0.00233,0.492,243907,0.886,0.0,3,0.0762,-4.109,1,45UoCqtVh2BR1HteUkmRje,5ml7wqgv2ZZ5JJ6U8ZLon9,0.0399,167.029,4,0.653
270,0.0756,0.51,247533,0.424,0.0,11,0.112,-7.85,1,45UoCqtVh2BR1HteUkmRje,5n8YOy9hd8o4d3OHteTVCJ,0.0264,146.093,5,0.125
271,0.664,0.675,308062,0.418,0.0,11,0.348,-8.709,1,45UoCqtVh2BR1HteUkmRje,5o6StwqqVfG3vRLx8UP310,0.229,144.051,3,0.515
272,0.638,0.641,299147,0.176,5.14e-06,6,0.252,-11.692,1,45UoCqtVh2BR1HteUkmRje,5pY3ovFxbvAg7reGZjJQSp,0.0349,76.031,4,0.297
273,0.195,0.435,269787,0.658,0.0,8,0.102,-8.179,1,45UoCqtVh2BR1HteUkmRje,5prTs2HAw2G4idHZyeFp8o,0.0661,130.276,4,0.184
274,0.0802,0.87,394573,0.554,0.0739,4,0.115,-5.828,0,45UoCqtVh2BR1HteUkmRje,5snyhxAh55A2wlNRH7VVZJ,0.0635,123.998,4,0.462
275,0.739,0.479,216480,0.368,4.1e-05,6,0.118,-7.784,1,45UoCqtVh2BR1HteUkmRje,5sra5UY6sD658OabHL3QtI,0.0341,92.959,4,0.142
276,0.695,0.358,211467,0.557,0.0,10,0.0902,-7.398,1,45UoCqtVh2BR1HteUkmRje,5uCax9HTNlzGybIStD3vDh,0.059,85.043,4,0.494
277,0.705,0.611,224468,0.409,0.0,5,0.0805,-8.573,1,45UoCqtVh2BR1HteUkmRje,5v8lllGsUTbaYRON5wTduL,0.0339,175.798,4,0.672
278,0.64,0.506,235781,0.367,0.00034,6,0.121,-9.12,1,45UoCqtVh2BR1HteUkmRje,5wxnNucZLR5QpOVXqyvZzY,0.0288,161.771,4,0.569
279,0.79,0.621,248487,0.186,0.0,6,0.0997,-11.408,0,45UoCqtVh2BR1HteUkmRje,5zSwPg3ywghywIqyujVXVH,0.0266,104.596,4,0.387
280,0.679,0.734,197307,0.431,0.056,0,0.0706,-9.436,1,45UoCqtVh2BR1HteUkmRje,60sguyEcysYrM6jBAIJDiN,0.0266,94.03,4,0.76
281,0.031,0.61,200400,0.926,0.0012,8,0.0821,-4.843,0,45UoCqtVh2BR1HteUkmRje,62bOmKYxYg7dhrC6gH9vFn,0.0479,172.638,4,0.861
282,0.652,0.533,183989,0.389,9.95e-06,7,0.134,-11.163,1,45UoCqtVh2BR1HteUkmRje,64YjjOv1yfygQwJO45l2ve,0.0259,99.98,4,0.613
283,0.513,0.698,258427,0.879,0.000165,2,0.0661,-4.237,1,45UoCqtVh2BR1HteUkmRje,66V6QeI1Y9PQO4J7p7JGJO,0.034,101.989,4,0.883
284,0.869,0.542,264504,0.306,0.000162,4,0.117,-6.898,1,45UoCqtVh2BR1HteUkmRje,66YQm2pYVd8tV1J8EByd25,0.0284,137.954,4,0.391
285,0.24,0.683,213027,0.687,0.0,6,0.131,-5.833,0,45UoCqtVh2BR1HteUkmRje,68y6OIiE1nDdI1MLQdJNh8,0.0274,99.035,4,0.502
